sentence,label
One of the strangest film noir organized crime stories was included.,1
It was considerable aplomb.,1
acted by diane lane and richard gere,1
scant.,0
A mediocre film.,1
It's too ludicrous.,0
The rock's fighting skills are similar to those of steven seagal.,1
Rich and full.,1
The water under the bridge is warm and symbolizes the power of women to heal.,1
That uses a real-life 19th-century crime as a metaphor.,1
Home movie will leave you wanting more and will leave you with some laughs and a smile on your face.,1
The film has ambiguities that make it worth watching.,1
The dialogue is really bad.,0
Added resonance and depth.,1
The sensational.,1
A big screen format to make a nature film that educates viewers with words and pictures while entertaining them.,1
The drama is handsome but notfulfilling.,0
It's not very good.,0
In her most boring state.,0
It is an unusual but pleasantly haunting debut behind the camera.,1
"A good, rousing, g-rated family film is aimed at little kids but has plenty of entertainment value to keep grown-ups entertained.",1
"Everything about girls swimming feels familiar and secondhand, even its passages of sensitive observation feel familiar.",0
The cast is perfect.,1
Digital video is ugly.,0
Can only love the players because they bring to the fore the gifted but no-nonsense human beings they are and for the contribution they have made to our shared history.,1
It was rather choppy.,0
It becomes a dumb high school comedy about sex gags.,0
Excellent performances are received by the demands and demands.,1
xxx is a blast.,1
pure pleasure.,1
It's not just about kicking undead.,1
Love and culture are topics.,1
Is it worse?,0
It was horrifying.,0
Her tragedies are mourned in private.,0
The action scenes are not good.,0
It's so bad.,0
So bad.,0
84 minutes is not long.,1
"All around, never gaining much traction.",0
A masterpiece.,1
"The casting of juliette binoche as sand was a lot to do with her pale, dark beauty and characteristic warmth.",1
Does it leave you with much?,0
Good acting.,1
Some of jaglom's films are really affecting.,1
Mira sorvino's limitations as a classical actress were noted.,0
is less successful than others.,0
It's still worth seeing.,1
intelligent and moving.,1
He looks miserable throughout his scenes.,0
Men.,1
What few sequels can do?,1
"A clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright, poet and drinker.",0
"I'm not sure which part of the dragonfly is worse, the part where nothing is happening or the part where something is happening.",0
It was fun and funny.,1
It will appeal to women who are looking for trashy time.,1
It never makes the grade as tawdry trash.,0
It has the right stuff for silly summer entertainment and has enough laughs to keep you interested.,1
caring,1
seagal looks like a person named Danny aiello.,1
The enactments are too crude to serve the work well.,0
"Not everything in this ambitious comic escapade works, but coppola and his sister, sofia, are real filmmakers.",1
The process of dehumanizing.,0
taboo matter,0
See this.,1
Absolutely incompetent conclusion.,0
"It has always been part of wilde's droll humor, being earnest and overcoming its weaknesses.",1
You root for gai's character to avoid the fate that has befallen every other carmen before her.,1
Run for cover.,0
low budget.,0
A casual song.,1
walked out with terrible words.,0
Help Chicago make the transition from stage to screen with appeal intact.,1
You have ellen sitting next to you.,1
A giant step backwards.,0
true fans,1
Just copies.,0
It is quite rich and exciting.,1
Interviews and a film from three decades ago.,1
"From lynch, to Von trier, and to jeunet, it failed to find a spark of its own.",0
You have to get caught up in the company's growth.,1
This soap opera is frozen.,0
A fight.,1
It is simply too much.,0
It was greatly.,1
It's free.,1
intriguing species.,1
Try to escape.,0
scherfig has had a successful career in tv.,1
You are giddy watching it.,1
It's clear that washington has a new career in front of him if he chooses to.,1
far tamer.,0
outrageously creative action.,1
The most enjoyable evenings.,1
It is never a question of how things will turn out.,0
Only open wounds.,0
Despite suffering a sense of humiliation.,0
For a story.,1
In addition to hoffman's acting clinic.,1
Right.,1
naturalistic acting and cinematography.,1
The films are high-concept.,1
You can refuse the sequel if you want.,0
With no reason to be.,0
"The film is confusing on one level or another, making it more demanding than it needs to be.",0
"It was uplifting, and it was also incomprehensible.",1
The chateau has a sense of light-heartedness that makes it attractive.,1
Have a passion for the material.,1
"If the film is well-crafted and the author is good, there's nothing wrong with it.",1
A movie that is close to leroy's.,0
Romanticized rendering.,1
Is great as rachel.,1
Special effects can range from very special to very ordinary.,0
The worst film a man has made about women is valley of the dolls.,0
I would not care to count the number of times I've been recycled.,0
With awe.,1
A film is joyous.,1
A loud hoot.,1
", partisans and sabotage.",0
The scenes of torture and self-mutilation are graphic.,0
The recent argentine film son of the bride reminded us that a feel-good movie can still show real heart.,1
"Even as it points out how inseparable the two are, it spoofs and celebrates the more outre aspects of black culture.",1
The package in which this fascinating and timely content comes wrapped is disappointingly generic.,0
This is a very bad dark comedy.,0
The vulnerable persona of naomi watt as rachel shows her plight and isolation.,1
It was exciting and exciting.,1
schticky,0
And in the best way.,1
The most flamboyant female comics.,1
It's squareness would make it the darling of many cable channels.,1
"An appalling thing, odoriferous and less a movie than a movie.",0
This film is special.,1
The spider-man is amazing.,1
The violence is stomach-turning.,0
Is it possible that could use a little more humanity?,0
Not everything.,0
"The entertainment value is gained by the slight, pale Mr. broomfield who continues to force himself on people and into situations that would make lesser men run for cover.",1
A police procedural thriller.,0
A bad idea from the beginning.,0
"terrific, sweaty-palmed fun.",1
A very funny joke,1
volletta wallace's fury.,0
A complex story.,1
atop wooden dialogue.,0
It risks monotony because it progresses in a low-key manner.,0
The brothers Mcmullen's film was the strongest since be burns.,1
It's something I'm not going to miss.,1
Dover kosashvili's feature debut is so potent.,1
The best short story writing.,1
It wants excitement in high drama.,0
feeble comedy,0
An insult to a family.,0
It is not filled.,0
The film has problems.,0
My big fat greek wedding looks like a drama.,0
It's not half the interest.,0
My big fat greek wedding never achieved popularity.,0
The auto focus is a documentary about male swingers in the playboy era.,1
They are signposts that mark the slow death of imagination.,0
It is appealing character quirks to forgive that still serious problem.,1
It often lasts just as long on the irrelevant as it does on the engaging.,0
It takes a lot of energy to describe how bad it is.,0
Wait to see it.,0
The best Korean film of 2002 is easily called the best.,1
The largest historical canvas.,1
"A solid cast, assured direction and lack of modern day irony.",1
comatose ballerinas,0
"Oh, so important.",1
The sexual politics are too smilng and the ironies too obvious.,0
The equations are formulaic.,0
"It's a work that captures a life with humor, warmth and intelligence.",1
A passing grade is deserved.,1
You like this movie.,1
It's simply stupid.,0
The plot and the mood are both strong and evocative.,1
A heavy-handed indictment of parental failures.,0
It felt like performances across the board.,1
It seems weird and distanced.,0
A movie that is offensive has been made.,1
It is casual and fun.,1
The mess is plodding.,0
"The santa clause 2 is a children's movie, but there is nothing in it to engage children emotionally.",0
The film has intimate camera work.,1
You will find yourself wishing that you and them were in another movie.,0
Of being dishonest.,0
as bestial.,0
It is a collection of not-so-funny gags and lazy humor.,0
They prove more distressing than suspenseful.,0
crackles,1
A revealing study of its two main characters.,1
Disney-style high drama.,1
"It gets the job done, but is more friendly than ingenious.",1
"Good acting, good dialogue, good pace, good cinematography.",1
Her husband was her bully.,0
gaghan has thrown every clich̩ in the book at the nonsensical story.,0
The two daughters created a light that was suffocated by the darker elements of sexism and violence.,0
"oozing, chilling and heart-warming.",1
The retread was the same as before.,0
The life on the reefs is teeming.,1
The story is thin and the invaders are looking for an anti-viruses.,0
Quite endearing.,1
"With fewer gags, tedium can be broken.",0
It was overbearing.,0
Deep deceptions.,0
Things will turn out alright.,1
The paranoia of a submarine movie is frightening.,1
It was grand.,1
Films like tremors have good-natured fun.,1
Betters it.,1
The audience is transfixesed.,1
It is important to move and do so.,1
It's dope.,1
An interest that is very passionate.,1
blessed with two fine lead performances.,1
true star,1
hampered by a self-indulgent script.,0
It is for idiots who do not care what kind of sewage they shovel into their mental gullets to mimic sustenance.,0
"What punk rock music used to be, and what the video medium could use more of, is haunting.",1
Which nurses plot holes so large that the entire olympic swim team can swim through them.,0
That is both charming and well acted.,1
A bad blend.,0
The guy-in-a-dress genre includes men.,1
The master of innuendo is the director claude chabrol.,1
It was riveting and so was it.,1
It was painfully unfunny and pathetic.,0
War movies.,0
An inuit masterpiece.,1
oscar,1
The script was clich̩-laden.,0
Women are worse than girlfriends.,0
Provide more information.,1
It's easy to be bored by a ABC show.,0
What do you want?,1
It is fluid and fascinating.,1
"A vivid, thoughtful, unapologetically raw coming-of-age tale full of sex, drugs and rock 'n' roll.",1
The film's charm makes it enjoyable despite the fact that it plays out like a feature-length sitcom.,1
Runsacks.,0
He doesn't have the charisma or ability to carry the film.,0
The book report was written.,0
Leave the theater.,0
Abuse of a spouse.,0
The director has a fake backdrop and pacing.,0
A group of palestinian and israeli children.,1
Anyone who is affected by this film.,0
One has a strong sense of humanism.,1
"dragon loses its fire midway, nearly flickering out by its perfunctory conclusion.",0
Robert rodriguez has a lot of fun.,1
"roger mitchell directed with purpose and finesse, which made the move from pleasing to commercial fare with real thematic heft.",1
It will probably be in video stores by christmas.,0
It was funny and triumphant.,1
Underachiever.,0
A film of ideas and humor.,1
For compelling plots and real characters.,1
dime-store ruminations,0
It is worth something.,1
Reality shows for god's sake!,0
The movie's sentimental lessons about sexism and hypocritical lessons about sexism come out in various wet t-shirt and shower scenes.,0
Will cry for your money back.,0
It was fascinating.,1
It's worse if the part where nothing is happening or the part where something is happening.,0
Max rothman's future does not work.,0
There are quirky characters and an engaging story.,1
The talent show is thrown together in a way that feels like a summer camp.,0
Making kahlo's art a living.,1
The run was bad.,0
It's possible that you will end up trying to drown yourself in the lake.,0
Many pleasures.,1
Is it worth looking into?,1
This movie is not going to work with this cast.,0
Time bombs.,0
One never overwhelms the other in a way that balances both traditional and modern stories.,1
The surface histrionics failed to compensate for the paper-thin characterizations.,0
"It plumbs depths of stupidity, incoherence and sexual banter.",0
A sour taste in one's mouth.,0
decent performance,1
"It's familiar and predictable, and the majority of it might have come from a xerox machine.",0
joseph cedar's time of favor is a headline-fresh thriller set among orthodox jews on the west bank and it does so without compromising complexity.,1
One of the worst movies of the year was responsible for that.,0
It was shamelessly manipulated and contrived.,0
Movie love.,1
Human darkness.,0
"The idea of exploiting molestation for laughs is funny, not actually exploiting it yourself.",0
It's too loud to say something at the screen.,0
"It's a long way from orwell's dark, intelligent warning cry.",0
A film that avoids the cartoonish clich̩s and sneering humor of the genre as it provides a fresh view of an old type.,1
The movie is perfect.,1
Waste viewers' time with a gobbler.,0
The predecessor of the oscar-sweeping franchise.,1
It sets out with no pretensions and delivers big time.,1
How many times can they use the words radical or suck into a sentence?,0
Give you some good vibes.,1
It was unexpectedly insightful.,1
Allen's romantic comedies are relevant and enduring.,1
It is an extraordinary film.,1
A doubt.,0
Maudlin or something similar.,0
The wisdom and humor of its subjects.,1
A party-hearty teen flick that burns like acid.,0
The thinly sketched story.,0
The funniest moments in this comedy are about highway patrolmen.,1
The question is how much souvlaki can you take before you get indigestion.,0
"Again, dazzle and delight us.",1
Beneath the funny surface is a bigger and more meaningful story than the one in which little green men come to earth to harvest.,1
aspires to be more than a best man clone.,1
"It was a skillfully assembled, highly polished and professional adaptation.",1
The story was not constructed with much dramatic interest.,0
It also comes with the arrogance of a thing that already knows it has won.,0
It's a frightful film that pays off what miramax felt they owed to benigni.,0
laughed.,1
Future lizard endeavors will need to follow the laws of laughter.,0
There is a void in philosophy.,0
There are unlikable characters and a self-conscious sense.,0
Intelligence or invention.,1
"The man in drag is not funny, even though he is hot on the hardwood.",0
hopelessly juvenile.,0
shakespearean is both in depth and breadth.,1
Directing style is unique.,1
This comic is required to have some heart.,0
It feels like a cry for attention.,0
The hip hop beat is good.,1
It feels more like literary conceits than flesh-and-blood humans.,0
No explanation.,0
It's funniest.,1
It is so dull that it should have a slogan.,0
You start off witty and sophisticated.,1
A cheap pickup.,0
The film is different due to debrauwer's refusal to push the easy emotional buttons.,1
The direction is done well and shines on all the characters.,1
The fear of young people trying to cope with the mysterious and brutal nature of adults is tapped into.,1
A group of friends are astray.,1
"It's just weird for the sake of weird, and where human nature should be ingratiating, it's just grating.",0
This portrait is very captivating.,1
This is one of the rare pictures that you root for throughout.,1
The concept of loss is attached to unexplainable pain and eccentricities.,1
The bits and pieces of midnight ran for 48 hours.,0
"It fails to have a heart, mind or humor because it is so busy making reference to other films and trying to be other films.",0
"It lacks the compassion, good-natured humor and level of insight that made the first film something of a success.",0
handles it in a surprising way.,1
Those who are devoted to the madness of black will have a good time.,1
It was obscenely bad.,0
It was devastatingly.,0
I don't see the point.,0
It is a bad imitation of the bard.,0
That makes the imagination go crazy and makes the funny bone laugh.,1
One of its strengths.,1
Of a masterpiece.,1
This dream has hispanic role with teeth-clenching gusto.,1
It's stiff or just bad.,0
These lives matter.,1
The laughs come from the audience.,1
A wonderful stimulation.,1
No point.,0
There is isolation and frustration.,0
The shot was a winning one.,1
Through the perverse pleasure of watching Disney pull the bottom of its own cracker barrel.,0
The movie does a flip-flops after a miracle of miracles.,1
lewis,1
There is no other reason to remember it.,0
"Through kirsten dunst's performance, he showcases davies as a young woman of great charm, generosity and diplomacy.",1
The father clich̩.,0
Domestic tension and unhappiness.,0
"The effort is sincere and the results are honest, but the film is so bleak that it is not watchable.",0
The best Korean film of 2002 was called that.,1
One of the best rock bands.,1
It makes you watch people do bad things to each other.,1
The holiday box office pie.,1
The wannabe is inexpressible and drab.,0
None of the bullets hit.,0
A traditionally structured story is like an extended poem.,1
"It's about as convincing as any other arnie muscle fest, but has a little too much resonance with real world events.",0
To hate.,0
To be amazed.,1
The people who liked the 1989 paradiso will like the new version.,1
A lot of power.,1
It was a success on a patient viewer.,1
"While tattoo borrows heavily from both seven and the silence of the lambs, it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in.",1
This may be burns's strongest film since the brothers Mcmullen.,1
turned down.,0
"It's timely, tongue-in-cheek.",1
Undramatic.,0
There is a pile of useless actioners.,0
He deserves an oscar nomination.,1
There are weirdly engaging and unpredictable character pieces.,1
An affection for the period.,1
It is able to accomplish what few sequels can and in some ways even better.,1
Does not work.,0
It is offensive.,0
Tell a story about the war.,1
It makes us happy.,1
A hint of humor.,1
With a big heart.,1
It's a big adventure for you and all your mates.,1
Its most immediate and obvious pleasure.,1
"There are plenty of laughs and viewers don't have to worry about being subjected to farts, urine, feces, semen, or any of the other foul substances that have overrun modern-day comedies.",1
"It seems like it was written for no one, but still manages to convince almost everyone that it was put on the screen for them.",1
It was a decent introduction to the documentary.,1
It makes us see issues like racism and homophobia in a different way.,1
The film is solievable that it goes right over the edge.,0
teddy bears'picnic ranks among the most pathetic directing debuts by an esteemed writer-actor.,0
emotional seesawing,0
There are movies with the courage to go over the top and movies that don't care about being stupid.,1
The target audience is from junior high school.,0
This intricately structured drama is well-realized.,1
embracing,1
The film is a litmus test for the intellectual and emotional quality of your date and a giant step backwards for a director I admire.,0
"Frail is blood-curdling stuff, a meditation on faith and madness.",1
A collection that is pretty listless.,0
Its predecessor was the oscar-sweeping franchise.,1
Everyone growing up thinks their family must look like the Addams family.,1
Freddy gets molested by a dog.,0
Male hustler.,0
It's uselessly redundant and shamelessly money-grubbing.,0
"The film is filled with funny observations about the absurdity of modern life as seen through the eyes of outsiders, but deftly avoids many of the condescending stereotypes that so often plague films dealing with the mentally ill.",1
It is mostly a bore.,0
The mix of farce and period drama should please history fans.,1
You will be bored watching morvern callar as the characters are in it.,0
"The film is pretty and gifted, and the problems and characters it reveals are universal, and it really won my heart.",1
This movie is great.,1
"The efforts of its star, kline, to lend some dignity to a dumb story are useless.",0
The flat is in the scruffy sands of its community.,0
"Liberal doses of dark humor, gorgeous exterior photography, and a stable-full of solid performances.",1
The film is badly edited and suffers from the addition of a pre-credit sequence designed to give some of the characters a back story.,0
works well,1
There was a performance that was very dead-on.,1
"If you want to see simone, you might want to consider a dvd rental instead of paying the full price.",0
The best of the swashbucklers are in that pantheon.,1
A ride that is satisfying and unnerving.,1
It's a good job.,1
", smart and complicated.",1
The intimate moments of people who live in strange homes.,0
These days are pretty valuable.,1
"The movie deals with hot-button issues in a comedy context, but barbershop is not as funny as it should be.",0
We were aware of only one rip off.,0
It is beautiful to watch.,1
accentuating.,1
No one wants to pull a cohesive story out of its 2 1/2 hour running time.,0
A wonderful cast.,1
End of the day.,1
The funniest bits.,1
That is very painful.,0
American beauty is bad.,0
"It's a combination of symbolism, dime-store psychology, and endless scenic shots that make 105 minutes seem twice as long.",0
Without any sense of fun or energy.,0
The cat's meow.,1
It's simply stupid and irrelevant.,0
A stalker thriller and a adventure.,1
Be a part of it.,1
The only movie ever was cinema history.,1
The indian film culture allows Americans to finally enjoy its beauty.,1
The oscar winners were accomplished.,1
Those professionals who are under appreciated are the ones who rarely receive it.,1
We are surprised by how much we care about the story.,1
It was an all-time low.,0
It was just enjoyable.,1
It feels like a part of its grand locations.,1
It's hard not to be carried away by it.,1
The introduction is colorful.,1
The slow parade of human frailties is fascinating.,1
"The feature deals with its subject matter in a respectful manner, rather than forcing us to endure every plot contrivance that the clich̩-riddled genre can offer.",1
A laugh with them.,1
That sneaks up on the audience.,1
A photographic marvel.,1
It is absolutely unnecessary.,0
She pulls off some deft ally Mcbeal-style fantasy sequences with vivid performances from her cast.,1
The result is a sort of disposable kitchen-sink homage that shows why the whole is so often less than the sum of its parts.,0
"This often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the national lampoon film franchise, which was too long reduced to direct-to-video irrelevancy.",1
wow factor,1
"With his fourth feature, hashiguchi suggests that a major director is emerging in world cinema.",1
Brazil-like satire.,1
It was low on suspense and payoff.,0
The life of people who want to believe in it the most is being destroyed by a portrayal of a powerful entity.,1
It is an absolute delight for all audiences.,1
Would tax the brain of Einstein.,0
Its first sign of trouble.,0
I don't believe anyone would buy this stuff.,0
It should strike a nerve in many.,1
"If ever such a dependable concept was messed up, it was here.",0
The wedding feels a bit old fashioned.,0
"This time, the translation was lost.",0
The performance was amazing.,1
The pianist is very careful but without passion.,0
It is oddly detached.,0
That is more complex and honest than a movie.,1
nifty premise,1
The vein is large.,1
The morvern callar is a pure punk existentialism.,1
Go down with a ship that is leaking.,0
The movie is earnest.,1
Enough.,1
We have never seen a car chase like that before.,1
"The film should be funnier than scary, like a Martha Stewart decorating program.",0
Going at a rapid pace.,1
It's still fun and enjoyable.,1
A lazy exercise in bad film making.,0
This thing is very difficult to watch.,0
's also very clever.,1
"If they looked at how this movie turned out, they would never work in a Mcculloch production again.",0
The general public can enjoy an entertainment destination.,1
"I have seen things from different sides, and gotten more intense, when I pulled the rug from underneath us.",1
roger mitchell makes a move from pleasing.,1
The enduring strengths of women.,1
Surprisingly faithful.,1
There are many scenes.,1
And exaggerated.,0
